# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
55749477 35.03455 34.88151 34.61377  -49.40  -13.08   95.08   17.65   17.77 7.1887e+08 7.2704e+08 23.34225 2.79592 0.78750   19513 4.367e+05    30808       -1       -1
55838709 35.12637 35.30659 35.24141  -45.10  -47.81  121.46   23.62   28.47 7.0845e+08 1.9056e+09 23.22817 1.93629 0.41900 1.2683e+05 1.7289e+06    81887 55819864 55819864
55775900 35.17541 35.15421 35.27961  228.17   48.30  -25.91   20.92   22.70 7.0521e+08 1.291e+09 23.19296 2.06194 0.52190   60051 9.9797e+05    51132 55819864 55819864
55767171 34.03532 34.52646 35.25935   73.58 -142.37   87.24   16.34   16.34 6.9789e+08 6.9789e+08 23.11268 2.00043 1.00000   18434 4.1881e+05    29255       -1       -1
56027437 36.00937 34.58745 34.52061  -54.72  -84.12   30.26   17.14   17.14 6.9324e+08 6.9324e+08 23.06197 1.92634 1.00000   18199 4.1488e+05    27198       -1       -1
55761366 35.04494 35.17059 34.69528   35.46 -155.62   40.43   19.86   23.45 6.8606e+08 1.8211e+09 22.98169 2.33140 0.68130 1.1625e+05 1.6218e+06    50765       -1       -1
55838929 35.23931 35.26624 35.31373   54.89  -14.51  153.89   19.66   33.11 6.7775e+08 4.9282e+09 22.88732 2.24094 0.36590 7.8592e+05 6.6005e+06    52408 55819864 55819864
55763919 35.15542 35.11786 35.02531 -122.67  -37.29  156.06   19.70   19.47 6.769e+08 1.112e+09 22.88028 2.85214 0.48540   45087 8.0837e+05    36548 55765365 55819864
55763334 35.00359 35.13439 34.91032  -48.49   70.25  133.99   17.00   17.10 6.7521e+08 7.2366e+08 22.86056 3.70383 0.53520   17301 3.9973e+05    47638 55765365 55765365
56051189 35.68331 35.92111 35.53806  -13.33 -157.92   73.96   16.39   16.39 6.6549e+08 6.6549e+08 22.74930 3.48308 1.00000   16826 3.9163e+05    27534       -1       -1
55763088 35.32199 34.81500 34.98689  -28.02  -29.60   70.69   18.90   21.24 6.2859e+08 1.1366e+09 22.32113 2.27337 0.48540   47025 8.3378e+05    28525       -1       -1
56027483 36.05349 35.37530 34.66852  -48.22 -104.88   88.10   14.87   14.87 6.1859e+08 6.1859e+08 22.20141 1.85000 1.00000   14623 3.5324e+05    25020       -1       -1
55726502 34.58356 34.39935 34.44044   73.11  -84.59   91.49   15.57   15.57 6.1197e+08 6.1197e+08 22.12254 2.66812 1.00000   14325 3.4792e+05    27536       -1       -1
56050802 35.64563 35.96532 35.24325  -57.57 -130.86  103.19   13.03   13.14 6.0803e+08 6.1493e+08 22.07606 1.69119 0.94690   14148 3.4475e+05    21495       -1       -1
56027415 36.01218 35.24755 34.64441  -47.82 -102.94   94.36   13.39   13.15 5.9732e+08 6.4e+08 21.94507 3.97241 0.84060   13673 3.3622e+05    23349       -1       -1
55839318 35.27939 35.40701 35.48935   -1.26 -124.31  113.78   20.90   24.38 5.9479e+08 2.0873e+09 21.91408 1.71141 0.40570 1.5106e+05 1.966e+06    75875       -1       -1
55820565 34.46048 35.45585 36.43686   34.94 -123.40    8.86   15.47   15.47 5.9437e+08 5.9437e+08 21.90986 3.82331 1.00000   13544 3.3387e+05    25441       -1       -1
55839142 35.29323 35.30758 35.33958  140.43  -40.51   95.72   19.68   24.39 5.9268e+08 1.6803e+09 21.88732 1.94905 0.56180   99603 1.4476e+06    83389 55819864 55819864
55760483 35.19304 34.91565 35.06063  162.58   -1.68  110.87   14.41   14.38 5.862e+08 5.8761e+08 21.80845 3.35645 0.93360   13189 3.2741e+05    28154       -1       -1
55776941 35.06606 35.05618 35.12332   31.23   49.99   52.74   18.97   19.93 5.7972e+08 8.8732e+08 21.72676 1.77170 0.56180   29233 5.8784e+05    50938 55819864 55819864
55815532 35.10766 35.31394 35.22749 -183.48  -67.82    0.69   19.98   21.46 5.762e+08 8.669e+08 21.68310 2.17269 0.54850   27955 5.6883e+05    34366 55819864 55819864
55726475 35.31511 34.86007 33.66796  100.86 -142.48  107.61   12.66   12.66 5.6014e+08 5.6014e+08 21.48028 2.98491 1.00000   12086 3.0705e+05    24887       -1       -1
56027443 35.50476 34.80073 34.61677   26.06 -112.78  124.17   16.51   17.25 5.5648e+08 7.5197e+08 21.43239 2.19693 0.60160   11935 3.0422e+05    25669       -1       -1
55820575 34.40727 35.51614 36.54396   38.16 -122.14   13.22   15.55   16.21 5.531e+08 7.0014e+08 21.38873 1.91362 0.40570   11796 3.0162e+05    23860       -1       -1
56051297 35.55887 34.78730 35.09532   40.28  -30.83  110.63   17.43   17.51 5.5127e+08 5.8887e+08 21.36479 2.38667 0.84060   11721 3.0021e+05    22889       -1       -1
56048013 35.37539 34.76977 34.46796   83.58   40.26  194.44   18.26   20.11 5.4789e+08 9.7239e+08 21.32254 2.33264 0.44560   11584 2.9761e+05    51931 56048018 56047886
55749495 34.14863 34.58387 34.70221   72.31 -125.29   79.44   15.55   15.55 5.4408e+08 5.4408e+08 21.27183 2.86714 1.00000   11430 2.947e+05    23429       -1       -1
56027496 36.24386 35.97818 34.32976   28.16 -133.61   74.35   14.60   14.60 5.4e+08 5.4e+08 21.21972 2.63343 1.00000   11266 2.9158e+05    21153       -1       -1
56051058 35.72420 35.97700 35.34324  -13.66 -158.79   63.26   14.99   14.75 5.3873e+08 5.4254e+08 21.20282 1.68393 0.93360   11215 2.9061e+05    25880       -1       -1
55820581 34.95107 35.64634 35.52739  111.69 -166.75  -12.72   15.95   15.95 5.3563e+08 5.3563e+08 21.16197 3.39443 1.00000   11091 2.8826e+05    22528       -1       -1
55733583 35.14725 34.82256 34.44828  -24.23  -48.70   48.72   17.78   19.79 5.3113e+08 1.0454e+09 21.10282 2.25896 0.37920   10913 2.8484e+05    27000       -1       -1
56110199 36.24551 36.28104 34.98425  -23.63  -96.89   92.90   13.40   13.95 5.3113e+08 5.369e+08 21.10282 2.10835 0.93360   10913 2.8484e+05    22680       -1       -1
56072531 35.32861 35.26404 35.17286  154.24   33.49  -60.07   19.15   20.92 5.2521e+08 8.5915e+08 21.02394 2.25840 0.41900   27477 5.6167e+05    29667 55767044 55819864
56051169 35.86217 35.85800 35.56208  -54.24  -75.20    8.05   13.27   12.47 5.2e+08 5.3817e+08 20.95211 2.35365 0.80080   10478 2.7645e+05    24325       -1       -1
55820591 34.38059 35.21814 36.18044   83.53 -131.73   48.77   15.14   15.14 5.1577e+08 5.1577e+08 20.89718 2.58107 1.00000   10315 2.7328e+05    21648       -1       -1
55777201 35.09238 35.09714 35.21956  -48.61  -82.91  103.43   20.56   23.68 5.093e+08 1.0411e+09 20.80986 2.24579 0.36590   39734 7.3664e+05    24627 55819864 55819864
55838888 35.27520 35.21394 35.30208  -79.04 -186.63  -90.22   24.19   38.29 5.0239e+08 5.2366e+09 20.71549 1.88431 0.28950 8.8304e+05 7.1896e+06    28394 55819864 55819864
55749512 35.19641 34.82039 34.98668  -21.32   36.36  125.27   13.40   13.61 4.9437e+08 4.9465e+08 20.60423 4.01280 0.94690  9508.9 2.5741e+05    22012       -1       -1
55726580 35.15090 34.70927 34.52392   66.26  -39.51  139.12   15.18   15.40 4.9056e+08 5.3239e+08 20.55070 2.07098 0.72110    9369 2.5462e+05    24197       -1       -1
55818277 35.31349 35.28731 35.23885  170.42 -112.68   29.75   18.85   24.95 4.8056e+08 1.7718e+09 20.40986 1.83666 0.47210 1.1028e+05 1.5602e+06    69028 55819864 55819864
